,level_0,index,num_moms,model,dataset,PH_size_fit,sample_size
0,9,10,5.0,general,df_cox.csv,50.0,11.0
1,10,11,5.0,general,df_cox.csv,100.0,0.0
2,11,18,5.0,general,df_hyper.csv,20.0,1.0
3,12,19,5.0,general,df_hyper.csv,50.0,15.0
4,13,20,5.0,general,df_hyper.csv,100.0,0.0
5,23,37,10.0,general,df_cox.csv,50.0,30.0
6,24,38,10.0,general,df_cox.csv,100.0,0.0
7,25,47,10.0,general,df_hyper.csv,100.0,0.0
8,26,49,10.0,hyper,df_hyper.csv,50.0,22.0
9,36,63,20.0,general,df_cox.csv,20.0,3.0
10,37,64,20.0,general,df_cox.csv,50.0,1.0
11,38,65,20.0,general,df_cox.csv,100.0,0.0
12,39,66,20.0,hyper,df_cox.csv,20.0,0.0
13,40,67,20.0,hyper,df_cox.csv,50.0,0.0
14,41,71,20.0,cox,df_cox.csv,100.0,4.0
15,42,72,20.0,general,df_hyper.csv,20.0,3.0
16,43,73,20.0,general,df_hyper.csv,50.0,7.0
17,44,74,20.0,general,df_hyper.csv,100.0,0.0
18,45,75,20.0,hyper,df_hyper.csv,20.0,0.0
19,46,76,20.0,hyper,df_hyper.csv,50.0,3.0
20,47,80,20.0,cox,df_hyper.csv,100.0,27.0
