mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12,mom_13,mom_14,mom_15,mom_16,mom_17,mom_18,mom_19,mom_20,orig_size,skewness,kurtosis,SCV
1,1.69394346,3.73201712,9.981689591,31.34040667,113.0400199,461.1016239,2104.141046,10718.87606,62861.79447,499692.7041,8525728.605,512480875.6,284012000000.0,786326000000000.0,2.76e+18,1.04e+22,4.14e+25,1.74e+29,7.71e+32,88,1.124739574,4.604396676,0.69394346
1,1.999063476,5.759994233,21.75466945,101.9741063,571.8238364,3735.840916,27877.05174,233967.0206,2181816.911,22389111.35,251025808.2,3066861020.0,41233820713.0,642503000000.0,13735400000000.0,538821000000000.0,4.12e+16,4.87e+18,7.3e+20,88,1.76528307,7.723533151,0.999063476
1,1.954590447,5.520157271,20.10781102,89.13083467,464.036995,2770.306563,18638.6871,139473.9939,1148850.449,10329777.37,100686338.5,1057718766.0,11915753155.0,143331000000.0,1833900000000.0,24874400000000.0,356580000000000.0,5387690000000000.0,8.56e+16,88,1.77597115,7.412649751,0.954590447
1,1.920994756,6.163994304,36.43398419,471.7337309,11428.19582,383800.9112,15439938.34,707015700.6,36077525069.0,2026550000000.0,124207000000000.0,8247420000000000.0,5.9e+17,4.52e+19,3.69e+21,3.21e+23,2.9499999999999995e+25,2.86e+27,2.92e+29,88,2.716490808,23.93683721,0.920994756
1,1.549545381,3.828650508,101.675287,14471.88965,2658181.67,570433277.3,139903000000.0,38601500000000.0,1.18e+16,3.99e+18,1.47e+21,5.85e+23,2.5099999999999998e+26,1.15e+29,5.659999999999999e+31,2.9500000000000004e+34,1.63e+37,9.489999999999999e+39,5.82e+42,88,2.896556151,306.8143004,0.549545381
1,1.948829238,6.597509052,34.8657076,255.4514188,2366.971481,26190.74415,334448.729,4823821.166,77429727.57,1368035591.0,26374750273.0,550918000000.0,12393400000000.0,298720000000000.0,7680290000000000.0,2.1e+17,6.07e+18,1.85e+20,5.96e+21,88,2.976541008,19.07040643,0.948829238
1,1.598640394,3.521265707,9.908131948,34.00452621,137.9628053,646.9008844,3445.712643,20567.23844,136061.1748,988514.6471,7826724.245,67092440.22,619162342.0,6121134906.0,64547120316.0,723233000000.0,8581420000000.0,107497000000000.0,1417760000000000.0,88,1.566012808,6.738592286,0.598640394
1,1.790333374,4.441277687,14.34421882,76.02583935,4929.749557,2786121.185,2410292557.0,2434120000000.0,2744400000000000.0,3.41e+18,4.61e+21,6.76e+24,1.07e+28,1.81e+31,3.26e+34,6.26e+37,1.27e+41,2.73e+44,6.15e+47,88,1.523284211,6.917903652,0.790333374
1,1.922289712,5.45877602,20.70519586,99.61226591,589.761651,4222.941038,36872.88631,460038.8756,14315816.63,1144577591.0,127976000000.0,16163500000000.0,2225190000000000.0,3.31e+17,5.32e+19,9.19e+21,1.7e+24,3.39e+26,7.200000000000001e+28,88,1.910184912,8.704056728,0.922289712
1,1.838493449,5.428208635,24.201836,152.3600266,1257.810444,12796.32195,153642.3944,2118630.467,33059361.04,583491364.3,11963206308.0,308321000000.0,11316000000000.0,623854000000000.0,4.74e+16,4.48e+18,4.98e+20,6.36e+22,9.16e+24,88,2.491172322,14.96286748,0.838493449
1,1.894217628,5.350197075,20.13124417,94.67091235,534.2336741,3517.142343,26463.04416,223996.8531,2106693.874,21794838.3,245977103.1,3007453863.0,39599794843.0,558691000000.0,8409520000000.0,134615000000000.0,2290530000000000.0,4.18e+16,8.59e+17,88,1.972025429,8.873859818,0.894217628
1,1.818330241,4.750457926,16.19116176,68.26357787,344.8925263,2058.012936,14648.83983,131142.7648,1627353.541,29616266.67,737305788.7,22365445685.0,767334000000.0,28790100000000.0,1165410000000000.0,5.07e+16,2.36e+18,1.19e+20,6.51e+21,88,1.749981758,7.61472706,0.818330241
1,1.818624352,4.71375226,15.88259219,66.08904413,328.153125,1896.102761,12506.79866,92761.50986,764284.2732,6926223.853,68471814.85,733304895.4,8457497885.0,104512000000.0,1377590000000.0,19293300000000.0,286105000000000.0,4478480000000000.0,7.38e+16,88,1.698290374,7.370528988,0.818624352
1,1.985130331,5.908768608,23.44957693,116.3275644,692.4867763,4809.358181,38172.86073,340859.0391,3381834.991,36908185.67,439421741.4,5667643061.0,78724176300.0,1171590000000.0,18598400000000.0,313690000000000.0,5602110000000000.0,1.06e+17,2.1e+18,88,1.997770843,8.990673246,0.985130331
1,1.83162585,4.995790308,18.15771818,82.4915803,449.7154954,2860.307805,20791.20356,170019.6085,1544812.886,15439934.03,168346293.2,1988491698.0,25294650878.0,344744000000.0,5011800000000.0,77414000000000.0,1266100000000000.0,2.19e+16,3.97e+17,88,1.979080585,8.913097437,0.83162585
1,1.604592838,3.872054654,24.35814212,710.6007232,38131.15893,2495990.899,187431492.5,15839580578.0,1487370000000.0,153637000000000.0,1.73e+16,2.11e+18,2.78e+20,3.91e+22,5.88e+24,9.4e+26,1.59e+29,2.84e+31,5.34e+33,88,2.251150374,42.39699761,0.604592838
1,1.650774006,3.940197131,12.49151211,49.53248854,237.0579324,1368.340199,10489.79299,151605.3902,6256410.851,591846011.0,82844468651.0,13822500000000.0,2551360000000000.0,5.08e+17,1.08e+20,2.45e+22,5.87e+24,1.4800000000000002e+27,3.9500000000000004e+29,88,1.881727572,8.583965038,0.650774006
1,1.61833166,3.433563986,8.883830027,26.96055404,93.56736937,364.7641953,1576.619348,7485.399429,38815.62804,219707.5025,1369324.24,9647143.854,80945230.0,863158831.7,11998947690.0,207996000000.0,4188780000000.0,93033400000000.0,2215920000000000.0,88,1.189934176,4.863715604,0.61833166
1,1.85007592,5.10739907,19.24053124,93.74435004,569.0392185,4201.230352,37640.88972,429281.9252,7225272.744,215158936.6,10698753579.0,712431000000.0,55293200000000.0,4729450000000000.0,4.36e+17,4.29e+19,4.47e+21,4.92e+23,5.709999999999999e+25,88,1.986780197,9.564229801,0.85007592
1,1.9467532,5.657485044,21.90263909,105.9752827,615.2857904,4167.717406,32268.69378,281507.4785,2768410.592,33917368.5,880000967.4,68604147680.0,8261930000000.0,1121180000000000.0,1.63e+17,2.53e+19,4.14e+21,7.16e+23,1.3e+26,88,1.972666347,8.872976457,0.9467532
1,1.996005343,5.975916781,23.85536069,119.0357588,712.7712079,4979.315458,39754.0227,357063.1598,3563415.764,39118359.65,468471671.6,6077824279.0,84917583784.0,1271190000000.0,20297900000000.0,344367000000000.0,6186090000000000.0,1.17e+17,2.34e+18,88,1.999871981,8.999481698,0.996005343
1,1.950430891,5.14973801,17.22095364,70.22341596,339.4946816,1903.410713,12159.70022,87257.38814,695170.3863,6089527.192,58177635.84,602039619.7,6708674335.0,80090899738.0,1019850000000.0,13797700000000.0,197647000000000.0,2988450000000000.0,4.76e+16,88,1.40133786,5.894471014,0.950430891
1,1.657792571,3.799201316,11.15982479,40.17671862,172.0459843,858.235475,4915.239373,32012.75979,236124.8691,1986464.476,19960254.58,282086670.4,7235536396.0,319928000000.0,18432300000000.0,1192710000000000.0,8.29e+16,6.1e+18,4.73e+20,88,1.547939008,6.724832511,0.657792571
1,1.917718549,5.494341424,20.99309894,100.9356051,624.134737,7496.863107,331780.1294,28338131.94,2899740110.0,328793000000.0,40697800000000.0,5457680000000000.0,7.88e+17,1.22e+20,2.01e+22,3.53e+24,6.55e+26,1.28e+29,2.6499999999999997e+31,88,1.980527359,8.931345312,0.917718549
1,1.767603084,5.974154704,130.2905741,10049.78319,1028450.245,123392170.0,16923167422.0,2611160000000.0,447653000000000.0,8.44e+16,1.74e+19,3.87e+21,9.29e+23,2.39e+26,6.55e+28,1.9099999999999998e+31,5.89e+33,1.9199999999999998e+36,6.5800000000000005e+38,88,3.972144032,193.4772056,0.767603084
1,1.600520608,3.590635677,10.89060939,46.33119395,302.2696773,3098.570179,44749.19116,801369.8151,16544736.34,381520620.2,9748215738.0,281898000000.0,10089500000000.0,536733000000000.0,4.64e+16,5.56e+18,7.79e+20,1.19e+23,1.9199999999999998e+25,88,1.695609259,8.682676817,0.600520608
1,1.986515902,5.91146103,23.44933211,116.2672894,691.7714308,4801.908787,38094.03931,339979.4315,3371364.779,36774902.56,437608628.3,5641340686.0,78318338044.0,1164950000000.0,18483400000000.0,311590000000000.0,5561710000000000.0,1.05e+17,2.08e+18,88,1.992069073,8.962660586,0.986515902
1,1.945654797,6.333205244,39.44453899,545.9202564,13313.78859,433754.9982,16812976.66,743251550.4,36714349761.0,2000220000000.0,119036000000000.0,7679500000000000.0,5.34e+17,3.98e+19,3.16e+21,2.67e+23,2.38e+25,2.2500000000000002e+27,2.23e+29,88,2.714485596,25.47980506,0.945654797
1,1.993765664,6.565356762,35.15046204,302.1683062,3911.914199,72995.95106,2016973.83,83773212.38,4808259257.0,339972000000.0,27567500000000.0,2487460000000000.0,2.48e+17,2.75e+19,3.45e+21,4.99e+23,8.48e+25,1.69e+28,3.84e+30,88,2.60841431,18.07631404,0.993765664
1,1.828510294,5.611469607,27.33592973,190.690059,1712.644065,18463.91782,229792.167,3227861.921,50429626.03,866924202.6,16259961762.0,330427000000.0,7232910000000.0,169707000000000.0,4250850000000000.0,1.13e+17,3.21e+18,9.64e+19,3.08e+21,88,2.819057147,18.73625286,0.828510294
1,1.836084748,4.96891143,17.86506469,80.23110249,432.3135461,2717.627274,19526.93772,158855.4565,1827225.507,188696530.4,81319752267.0,40857400000000.0,2.21e+16,1.29e+19,7.97e+21,5.24e+24,3.66e+27,2.69e+30,2.0799999999999999e+33,88,1.910613527,8.591707439,0.836084748
1,1.767025635,4.434160082,14.5743775,60.45304104,311.017008,1965.546654,15085.9192,138107.479,1473054.122,17867703.24,241369855.2,3572973246.0,57275476969.0,985854000000.0,18109300000000.0,353420000000000.0,7303480000000000.0,1.59e+17,3.67e+18,88,1.68673545,7.546621152,0.767025635
1,1.978609637,7.915134141,60.33143926,705.6345975,10658.9887,191697.9522,3956827.842,91881460.08,2368473421.0,67093875345.0,2071710000000.0,69255500000000.0,2491960000000000.0,9.6e+16,3.95e+18,1.72e+20,7.96e+21,3.88e+23,1.9899999999999997e+25,88,4.110484556,39.20170114,0.978609637
1,1.802571207,4.578624668,14.93393252,59.56950615,281.6116113,1542.387115,9617.156052,67317.28353,522946.0422,4465838.727,41589803.45,419517955.8,4556737281.0,53026870171.0,658193000000.0,8680240000000.0,121207000000000.0,1786510000000000.0,2.77e+16,88,1.628540415,6.885141524,0.802571207
1,1.984956708,6.503931294,39.61508472,1239.424872,161444.0798,29733763.03,6363345290.0,1534620000000.0,411301000000000.0,1.21e+17,3.9e+19,1.36e+22,5.1e+24,2.05e+27,8.79e+29,4.01e+32,1.93e+35,9.84e+37,5.28e+40,88,2.607681487,23.20191557,0.984956708
1,1.893163593,5.707550636,24.12546708,130.9855889,864.2073969,6694.74282,59824.52461,627424.4123,9065082.402,1103001201.0,8322320000000.0,8.81e+16,1.01e+21,1.2299999999999998e+25,1.61e+29,2.2299999999999998e+33,3.28e+37,5.09e+41,8.31e+45,88,2.402615365,12.10197749,0.893163593
1,1.972338679,5.786066032,22.51349828,109.1395808,633.5788813,4285.435511,33100.44772,287955.1728,3004779.22,146697258.6,65025516245.0,38653400000000.0,2.49e+16,1.71e+19,1.26e+22,9.85e+24,8.150000000000001e+27,7.119999999999999e+30,6.54e+33,88,1.949371331,8.676642063,0.972338679
1,1.976380102,5.850566089,23.08818091,113.8892676,674.149212,4655.602523,36744.10544,326251.0961,3218650.119,34929168.28,413515011.7,5303424886.0,73249766988.0,1083980000000.0,17110400000000.0,286967000000000.0,5095960000000000.0,9.55e+16,1.88e+18,88,1.991568432,8.962587765,0.976380102
1,1.474173603,3.128908005,10.51145623,61.54552717,572.1774197,7058.91549,103715.2613,1763420.358,64843634.37,36225179035.0,42198500000000.0,5.42e+16,7.5e+19,1.11e+23,1.76e+26,2.95e+29,5.25e+32,9.87e+35,1.95e+39,88,2.163399669,17.08261642,0.474173603
1,1.62779072,4.363482328,19.60006117,133.9412416,1213.050822,13292.91587,168289.4031,2402658.752,38115880.96,664843620.5,12645400755.0,260474000000.0,5776750000000.0,137245000000000.0,3477750000000000.0,9.36e+16,2.67e+18,8.03e+19,2.54e+21,88,2.97558051,22.6145573,0.62779072
1,1.952244187,5.707278555,22.24173861,108.344045,633.3163328,4318.99643,33661.76699,295150.4777,2875461.528,30815152.21,360254682.2,4562648966.0,62231341551.0,909420000000.0,14175800000000.0,234780000000000.0,4117160000000000.0,7.62e+16,1.48e+18,88,1.991486599,8.961587341,0.952244187
1,4.076053036,30.12246187,303.8958383,3814.337437,56985.7281,985788.9893,19362987.42,425499627.0,10339608757.0,275230000000.0,7963290000000.0,248803000000000.0,8347660000000000.0,2.99e+17,1.14e+19,4.62e+20,1.98e+22,8.9e+23,4.22e+25,88,3.68755065,21.65082378,3.076053036
1,2.471772619,12.95812627,282.1889891,41816.67241,11055643.45,3509487487.0,1275450000000.0,521534000000000.0,2.37e+17,1.18e+20,6.46e+22,3.8099999999999996e+25,2.43e+28,1.65e+31,1.2000000000000002e+34,9.28e+36,7.59e+39,6.550000000000001e+42,5.95e+45,88,4.224467743,111.8071569,1.471772619
1,3.317895263,19.96969439,169.3195811,1823.167199,23669.15395,359018.4178,6226426.038,121499585.0,2634434893.0,62834600980.0,1634940000000.0,46085600000000.0,1398990000000000.0,4.55e+16,1.58e+18,5.82e+19,2.27e+21,9.36e+22,4.06e+24,88,3.405018835,19.79440384,2.317895263
1,2.035638933,6.62549714,34.14319817,284.5041775,3579.317026,60718.05253,1286809.997,32870298.71,994997711.1,35303586399.0,1454330000000.0,68921600000000.0,3722870000000000.0,2.27e+17,1.55e+19,1.16e+21,9.56e+22,8.51e+24,8.12e+26,88,2.389699302,15.71495469,1.035638933
